#{"t_start": 1721369597.867865, "env_id": null}
r,l,t,d
-2380.282243,824,3712.254635,2.2545830019675708
-12515.930778,947,3718.531157,12.40158026777973
-7079.535259,1707,3729.674426,0.7473019024394052
-12900.477451,492,3732.911312,30.44360948474938
-5400.7884,3081,3752.893262,2.5680252885825943
-2753.971637,893,3758.751487,2.4412992335000405
-5144.619931,649,3762.996145,6.5837878433409145
-2469.405401,537,3766.510128,19.974257265420153
-12928.74578,1033,3773.277281,0.5274431202366194
743.485909,267,3775.011656,0.4216988489008893
-4113.928655,533,3778.427354,1.668889600970965
-130.076684,596,3782.338314,0.5610363123758281
541.829279,330,3784.466309,0.9970518510646807
-228.0271,663,3788.843797,0.5359937385519646
-5751.604531,1351,3797.617043,9.686039837239642
-6929.047839,832,3802.998469,1.2698934165920774
-5069.694248,717,3807.698259,0.4046685145184981
-1541.484746,406,3810.312685,3.8404113875352692
-1127.250443,141,3811.229545,6.42049370203593
-9413.842666,1275,3819.634303,1.0009952724435227
-2402.699936,776,3824.699594,0.7152721570372058
-183.843129,549,3828.283964,0.34679119506034006
-3380.862783,615,3832.324036,21.49295457839775
-4234.218914,1088,3839.352841,11.551629560838915
-1512.3301,834,3844.765742,0.4887730871229398
-8277.838806,1417,3854.007016,4.643540549670873
-3423.456072,1218,3861.950613,15.819462409457385
-5478.304221,1854,3873.984589,0.6033962258678108
-1000.124993,1,3873.992588,5.516679574171461
-12397.021933,1602,3884.430492,30.757331220600705
-2004.501793,237,3885.993689,19.15838915460037
-14793.394057,994,3892.386617,1.8930927600571272
-5528.205605,2815,3910.637453,18.529434920922053
-3037.079304,1418,3919.869621,1.168640354042003
-3403.146955,1536,3929.886772,20.57630142044209
-2872.782857,814,3935.266788,0.561699823291689
-7116.785139,1060,3942.198189,6.194118377090412
-12162.214517,1993,3955.128356,10.220935491613938
-5964.831573,761,3960.102551,0.39002137796571584
-6418.179982,1689,3971.06426,5.132272441059519
